iter	Passed	Remaining
0	6	1890
1	11	1710
2	17	1692
3	22	1662
4	27	1634
5	32	1611
6	38	1594
7	43	1586
8	48	1575
9	54	1569
10	59	1550
11	64	1546
12	69	1540
13	74	1529
14	80	1525
15	85	1522
16	91	1522
17	96	1518
18	102	1515
19	107	1509
20	112	1500
21	118	1495
22	123	1486
23	128	1482
24	133	1473
25	139	1466
26	144	1458
27	149	1453
28	154	1448
29	160	1440
30	165	1435
31	171	1432
32	176	1425
33	181	1423
34	187	1416
35	192	1410
36	198	1407
37	203	1401
38	208	1395
39	213	1388
40	219	1383
41	224	1377
42	229	1371
43	234	1365
44	240	1360
45	245	1353
46	250	1347
47	255	1339
48	260	1332
49	265	1326
50	270	1320
51	275	1313
52	280	1308
53	286	1304
54	291	1300
55	297	1295
56	302	1289
57	308	1285
58	313	1280
59	318	1274
60	323	1267
61	328	1260
62	333	1254
63	338	1249
64	343	1242
65	349	1238
66	354	1233
67	359	1227
68	364	1221
69	369	1214
70	375	1210
71	380	1205
72	386	1200
73	391	1197
74	397	1192
75	402	1187
76	408	1181
77	413	1175
78	418	1170
79	424	1167
80	429	1162
81	435	1156
82	440	1151
83	445	1145
84	450	1139
85	456	1134
86	461	1129
87	466	1123
88	471	1117
89	477	1113
90	481	1106
91	487	1101
92	492	1095
93	497	1091
94	503	1086
95	508	1080
96	514	1075
97	518	1069
98	524	1064
99	529	1059
100	534	1053
101	539	1047
102	545	1042
103	550	1036
104	555	1030
105	559	1024
106	565	1019
107	570	1013
108	575	1008
109	580	1002
110	585	997
111	591	992
112	596	987
113	602	982
114	606	976
115	612	970
116	617	965
117	622	960
118	627	954
119	633	949
120	638	944
121	643	939
122	648	933
123	653	928
124	659	922
125	664	917
126	669	912
127	674	906
128	680	902
129	686	897
130	692	892
131	697	887
132	702	881
133	707	876
134	713	871
135	718	866
136	723	860
137	728	855
138	733	849
139	739	844
140	744	839
141	749	833
142	754	828
143	759	822
144	764	817
145	770	812
146	775	807
147	780	801
148	786	797
149	791	791
150	796	786
151	802	781
152	807	776
153	813	770
154	818	765
155	822	759
156	828	754
157	833	749
158	838	743
159	843	738
160	849	733
161	854	727
162	859	722
163	864	717
164	870	712
165	875	706
166	881	701
167	886	696
168	891	690
169	896	685
170	901	680
171	907	675
172	912	669
173	917	664
174	923	659
175	928	654
176	933	648
177	938	643
178	944	638
179	949	632
180	954	627
181	959	622
182	965	617
183	970	612
184	976	607
185	981	601
186	987	596
187	993	591
188	999	586
189	1004	581
190	1010	576
191	1015	571
192	1020	565
193	1025	560
194	1031	555
195	1036	549
196	1041	544
197	1047	539
198	1052	534
199	1056	528
200	1061	522
201	1066	517
202	1071	512
203	1077	506
204	1082	501
205	1087	496
206	1092	490
207	1097	485
208	1102	480
209	1107	474
210	1112	469
211	1118	464
212	1123	458
213	1128	453
214	1134	448
215	1139	443
216	1144	437
217	1149	432
218	1154	427
219	1159	421
220	1164	416
221	1169	410
222	1174	405
223	1179	400
224	1183	394
225	1188	389
226	1193	383
227	1199	378
228	1203	373
229	1209	368
230	1214	362
231	1218	357
232	1222	351
233	1226	345
234	1231	340
235	1235	335
236	1240	329
237	1244	324
238	1249	318
239	1253	313
240	1259	308
241	1264	303
242	1270	298
243	1276	292
244	1281	287
245	1286	282
246	1292	277
247	1297	271
248	1302	266
249	1306	261
250	1311	256
251	1316	250
252	1320	245
253	1323	239
254	1328	234
255	1331	228
256	1335	223
257	1339	218
258	1343	212
259	1347	207
260	1351	201
261	1355	196
262	1359	191
263	1363	185
264	1368	180
265	1373	175
266	1379	170
267	1384	165
268	1388	160
269	1393	154
270	1397	149
271	1401	144
272	1405	138
273	1409	133
274	1412	128
275	1417	123
276	1421	118
277	1425	112
278	1429	107
279	1434	102
280	1438	97
281	1442	92
282	1446	86
283	1450	81
284	1454	76
285	1458	71
286	1462	66
287	1467	61
288	1471	56
289	1476	50
290	1481	45
291	1485	40
292	1490	35
293	1494	30
294	1498	25
295	1502	20
296	1508	15
297	1513	10
298	1517	5
299	1521	0
